Model,Kimlik,Bağlantı
"M002","hk-002-001","https://sahinkayamobilya.com/konfigurator/?m=M002&r=7044&f=yari-parlak&d=1&dy=10"
"M003","hk-003-001","https://sahinkayamobilya.com/konfigurator/?m=M003&r=7044&f=yari-parlak&d=1&dy=10"
"M004","hk-004-001","https://sahinkayamobilya.com/konfigurator/?m=M004&r=7044&f=yari-parlak&d=1&dy=10"
"M005","hk-005-001","https://sahinkayamobilya.com/konfigurator/?m=M005&r=7044&f=yari-parlak&d=1&dy=10"
"M006","kapak-3970","https://sahinkayamobilya.com/konfigurator/?m=M006&r=7044&f=yari-parlak&d=1&dy=10"
"M007","hk-007-001","https://sahinkayamobilya.com/konfigurator/?m=M007&r=7044&f=yari-parlak&d=1&dy=10"
"M008","hk-008-001","https://sahinkayamobilya.com/konfigurator/?m=M008&r=7044&f=yari-parlak&d=1&dy=10"
"M009","hk-009-001","https://sahinkayamobilya.com/konfigurator/?m=M009&r=7044&f=yari-parlak&d=1&dy=10"
"M010","hk-010-001","https://sahinkayamobilya.com/konfigurator/?m=M010&r=7044&f=yari-parlak&d=1&dy=10"
"M011","hk-011-001","https://sahinkayamobilya.com/konfigurator/?m=M011&r=7044&f=yari-parlak&d=1&dy=10"
"M012","hk-012-001","https://sahinkayamobilya.com/konfigurator/?m=M012&r=7044&f=yari-parlak&d=1&dy=10"
"M013","hk-013-001","https://sahinkayamobilya.com/konfigurator/?m=M013&r=7044&f=yari-parlak&d=1&dy=10"
"M014","hk-014-001","https://sahinkayamobilya.com/konfigurator/?m=M014&r=7044&f=yari-parlak&d=1&dy=10"
"M015","hk-015-001","https://sahinkayamobilya.com/konfigurator/?m=M015&r=7044&f=yari-parlak&d=1&dy=10"
"M018","hk-018-001","https://sahinkayamobilya.com/konfigurator/?m=M018&r=7044&f=yari-parlak&d=1&dy=10"
"M019","hk-019-001","https://sahinkayamobilya.com/konfigurator/?m=M019&r=7044&f=yari-parlak&d=1&dy=10"
"M020","hk-020-001","https://sahinkayamobilya.com/konfigurator/?m=M020&r=7044&f=yari-parlak&d=1&dy=10"
"M021","hk-021-001","https://sahinkayamobilya.com/konfigurator/?m=M021&r=7044&f=yari-parlak&d=1&dy=10"
"M022","hk-022-001","https://sahinkayamobilya.com/konfigurator/?m=M022&r=7044&f=yari-parlak&d=1&dy=10"
"M023","hk-023-001","https://sahinkayamobilya.com/konfigurator/?m=M023&r=7044&f=yari-parlak&d=1&dy=10"
"M024","hk-024-001","https://sahinkayamobilya.com/konfigurator/?m=M024&r=7044&f=yari-parlak&d=1&dy=10"
"M025","hk-025-001","https://sahinkayamobilya.com/konfigurator/?m=M025&r=7044&f=yari-parlak&d=1&dy=10"
"M026","hk-026-001","https://sahinkayamobilya.com/konfigurator/?m=M026&r=7044&f=yari-parlak&d=1&dy=10"
"M030","hk-030-001","https://sahinkayamobilya.com/konfigurator/?m=M030&r=7044&f=yari-parlak&d=1&dy=10"
"M031","hk-031-001","https://sahinkayamobilya.com/konfigurator/?m=M031&r=7044&f=yari-parlak&d=1&dy=10"
"M032","hk-032-001","https://sahinkayamobilya.com/konfigurator/?m=M032&r=7044&f=yari-parlak&d=1&dy=10"
"M033","hk-033-001","https://sahinkayamobilya.com/konfigurator/?m=M033&r=7044&f=yari-parlak&d=1&dy=10"
"M034","hk-034-001","https://sahinkayamobilya.com/konfigurator/?m=M034&r=7044&f=yari-parlak&d=1&dy=10"
"M038","hk-038-001","https://sahinkayamobilya.com/konfigurator/?m=M038&r=7044&f=yari-parlak&d=1&dy=10"
"M039","hk-039-001","https://sahinkayamobilya.com/konfigurator/?m=M039&r=7044&f=yari-parlak&d=1&dy=10"
"M041","hk-041-001","https://sahinkayamobilya.com/konfigurator/?m=M041&r=7044&f=yari-parlak&d=1&dy=10"
"M043","hk-043-001","https://sahinkayamobilya.com/konfigurator/?m=M043&r=7044&f=yari-parlak&d=1&dy=10"
"M044","hk-044-001","https://sahinkayamobilya.com/konfigurator/?m=M044&r=7044&f=yari-parlak&d=1&dy=10"
"M045","hk-045-001","https://sahinkayamobilya.com/konfigurator/?m=M045&r=7044&f=yari-parlak&d=1&dy=10"
"M046","hk-046-001","https://sahinkayamobilya.com/konfigurator/?m=M046&r=7044&f=yari-parlak&d=1&dy=10"
"M047","hk-047-001","https://sahinkayamobilya.com/konfigurator/?m=M047&r=7044&f=yari-parlak&d=1&dy=10"
"M048","hk-048-001","https://sahinkayamobilya.com/konfigurator/?m=M048&r=7044&f=yari-parlak&d=1&dy=10"
"M049","hk-049-001","https://sahinkayamobilya.com/konfigurator/?m=M049&r=7044&f=yari-parlak&d=1&dy=10"
"M051","hk-051-002","https://sahinkayamobilya.com/konfigurator/?m=M051&r=7044&f=yari-parlak&d=1&dy=10"
"M052","hk-052-001","https://sahinkayamobilya.com/konfigurator/?m=M052&r=7044&f=yari-parlak&d=1&dy=10"
"M053","hk-053-001","https://sahinkayamobilya.com/konfigurator/?m=M053&r=7044&f=yari-parlak&d=1&dy=10"
"M054","hk-054-001","https://sahinkayamobilya.com/konfigurator/?m=M054&r=7044&f=yari-parlak&d=1&dy=10"
"M056","hk-056-003","https://sahinkayamobilya.com/konfigurator/?m=M056&r=7044&f=yari-parlak&d=1&dy=10"
"M057","hk-057-001","https://sahinkayamobilya.com/konfigurator/?m=M057&r=7044&f=yari-parlak&d=1&dy=10"
